State/UT,District,Percent total literate Population (Age 7 +) ,Percent literate Male Population (Age 7+) ,Percent literate Female Population (Age 7+) ,Percent girls (age 6-11) attending Schools,Percent boys (age 6-11) attending Schools,Have Electricity connection (%),Have Access to toilet facility (%),Use piped drinking water (%),Use LPG for cooking (%),Live in a pucca house (%),Own a house (%),Have a BPL card (%),Own Agriculture Land (%),Have a television (%),Have a mobile phone (%),Have a Motorized Vehicle (%)
Andaman and Nicober Island, North & Middle Andaman  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicober Island, South Andaman  ,88,89.8,86.2,99.1,100,87.4,76.4,75.8,39.5,46.6,82,20.8,28.8,74.5,64.6,28.9
Andhra Pradesh,Adilabad,51,61.8,40.5,97.2,98.4,82,9.1,24.9,7.9,6,97.1,92.3,61.2,30.9,21.8,8.5
Andhra Pradesh,Anantapur,54.2,63.8,44.7,95.9,99.3,92.7,20.2,88.2,9,59.6,95,94.6,60.5,52.6,22.5,7.8
Andhra Pradesh,Chittoor,61.5,73.1,50,96.8,99,90.9,22.5,82.5,13.1,50.4,95.5,92.5,50.5,54.5,24.4,12.3
Andhra Pradesh,East Godavari,66.2,68.8,63.6,98.9,98.7,90.6,38.6,51.7,17.2,24.6,92.9,87.5,21.3,56,25.6,10.1
Andhra Pradesh,Guntur,58.4,68.4,48.6,97.9,98.8,88.8,39.6,47.8,29.6,40.1,90.3,80.2,38.5,54.5,21.8,10.6
Andhra Pradesh,Hyderabad,82.7,88.8,76.2,99.4,99.1,99.3,96.7,91.6,84.9,72.5,70.5,45.3,4.9,85.5,78.1,53.3
Andhra Pradesh,Kadapa,60.3,73.8,47.2,95.9,98.1,96,24.1,83.3,11.3,51.9,93.6,89.5,48.6,48.5,28.9,9.5
Andhra Pradesh,Karimnagar,56.9,68.8,45.8,99.9,98.5,91.8,25.3,61.9,14.6,22.1,92.5,83.9,45,49.4,33.9,10.7
Andhra Pradesh,Khammam,51,59.7,42.2,99.6,98.6,84.2,23.5,46.2,7.6,23.1,96,87.3,48.7,44.5,20.1,6.3
Andhra Pradesh,Krishna,65.6,70.8,60.5,99.3,99.5,93.3,45.3,65,26.4,34.6,89.6,88.2,24.5,60.9,23.9,11.4
Andhra Pradesh,Kurnool,48.6,60.5,36.7,94.8,97.9,93.1,21.8,66.5,9.7,45.4,91.7,91.5,57.3,51.4,27.3,9.2
Andhra Pradesh,Mahbubnagar,46.1,56.6,35.3,96.8,97.5,89,14.3,78.1,5,47.9,97.1,96.8,70.7,40.3,26.9,10.9
Andhra Pradesh,Medak,52.7,63.9,41.7,97.5,97.2,88,24.1,73.1,11.9,18.5,95.6,94.7,68.2,43.3,33.7,10.5
Andhra Pradesh,Nalgonda,57.8,70,45.1,96.5,96.5,89.3,22.8,62.9,11.4,42.1,94.5,90.5,49.4,50.6,36.1,10.9
Andhra Pradesh,Nellore,61.7,70.6,52.8,99.3,97.1,90.1,28.4,59,13.3,49.3,93.8,85.7,40.9,55.2,26.4,9.9
Andhra Pradesh,Nizamabad,52.1,63.2,41.7,98,98.9,94.8,27.1,90.1,19,21.1,91.8,88.7,47.4,47.5,33.5,9.9
Andhra Pradesh,Prakasam,57.1,67.7,46.6,95.2,98.6,89.4,31.3,40.5,20.8,52.2,90.5,76.6,50.1,53.7,22.1,11
Andhra Pradesh,Rangareddy,63.1,74.4,51.3,100,100,95.4,46.9,68.5,29.1,42.2,88.9,86.3,47.3,63.9,52.4,26.4
Andhra Pradesh,Srikakulam,56.4,66.9,46.5,96.2,99.7,86,12.4,9.4,10.3,46.6,94.4,91.8,52.4,37.6,16.3,6.8
Andhra Pradesh,Visakhapatnam,40,54.3,26.1,94.6,93.2,68.2,2.6,16.1,0.6,8.1,95.5,95.4,75.8,13,4.6,2.6
Andhra Pradesh,Vizianagaram,50,60.2,40.2,95.3,96.4,74.9,8,30.7,7.4,27.2,96.3,92.2,49.4,34.1,13.1,6.5
Andhra Pradesh,Warangal,58.5,70,47.2,99.5,98.7,93.3,28.9,73.2,13.9,21.1,92.2,91.7,46.4,43.9,30.2,8.6
Andhra Pradesh,West Godavari,65.4,70.1,60.5,96.4,97.8,92.1,49.9,79.8,19.2,28.1,88.4,89.4,22.9,58.1,23.9,10.6
Arunachal pradesh,Anjaw,74.3,80.9,66.3,100,100,97.5,82.4,95.4,27.2,11.2,98.9,21.4,43.3,57.2,32.1,24.3
Arunachal pradesh,Changlang,74.7,80.8,67,99.6,99.6,85.9,91.9,60.7,19.8,1.9,99.1,10,65.5,67.5,40.3,22.7
Arunachal pradesh,Dibang Valley,77.9,80.6,75,99.6,100,99.8,98.7,100,19.9,17.8,94.7,29.6,36.2,82.1,57.3,23.7
Arunachal pradesh,East Kameng,67.1,71.6,61.4,100,99.8,72,66.3,61.6,4.3,1.6,99.7,19.3,36.4,20.1,11.1,7.6
Arunachal pradesh,East Siang ,76.9,81.9,71.2,99.8,99.8,81.4,78.4,72.2,12.5,6.7,90.6,18.7,52.1,55.3,37,27.5
Arunachal pradesh,Kurung Kumey,77.9,82.4,71.5,98.8,96,94.1,81.4,86.2,6.9,2.5,98.2,31.9,54.9,62,13.1,16.9
Arunachal pradesh,Lohit,76.7,81.3,71,99.3,100,97.5,96.6,66.5,16.6,2.9,97.5,22.3,62.7,66.4,31.5,23.6
Arunachal pradesh,Lower Dibang Valley,74.6,77.9,71.1,100,100,99.6,96.2,91,6,3.3,97.9,23.8,80.5,67.6,33,15.5
Arunachal pradesh,Lower subansiri,77.7,82.2,72.1,98.8,98.1,93.2,87.3,92.2,19.7,5.3,97.7,20.9,46.2,66.9,21.3,26.2
Arunachal pradesh,Papum pare,78.4,83.6,72.1,100,100,98.6,79.9,84.9,38,17.1,93,29.9,48.3,64.6,47.8,29
Arunachal pradesh,Tawang,65.4,70.7,59.6,100,100,97.6,72.2,88.8,38.7,9.8,98.1,10.5,52.8,69.8,34.4,18.3
Arunachal pradesh,Tirap,77.4,81,72.7,100,100,99.1,85.6,86.3,16.5,1.7,97.8,26,68.1,69.1,25.1,17.3
Arunachal pradesh,Upper Siang,65.9,69.6,61.5,100,99.6,90.6,84.3,96.6,2.6,2.6,97.8,14.5,78.2,27.2,11,7
Arunachal pradesh,Upper subansiri,81.2,83.7,77.8,96.4,94.8,89.6,75.4,70.8,9.7,1.3,97.1,20.4,43.5,51.4,10.4,14.4
Arunachal pradesh,West Kameng,76.6,81.3,70.8,99,99.6,96.8,89.7,96,42,10.4,98.6,7.4,40,77.3,43.6,26.6
Arunachal pradesh,West Siang,76.7,81.7,70.1,94.2,89.9,65.7,68.5,74.6,14.3,4.2,92.7,10.5,44.3,38.3,24.5,16.9
Assam,Barpeta,73.5,79.8,66.5,99.6,98.6,22.5,71.3,1.3,10.5,0.9,97.6,29,48.1,14.9,23.5,6.9
Assam,Baska,79.2,84.5,73.1,99,99.5,30.9,59.5,1.4,6.2,2.9,98.4,26.6,66.2,21.7,18.7,5.6
Assam,Bongaigaon,69.5,77.1,61,99.3,98.5,19.9,54.5,1.4,6.6,1.6,98.1,24.2,47.6,16.5,27.1,7.1
Assam,Cacher,78,85.1,71.2,97.6,98,30,85.5,28.9,4.7,2.4,99,27.2,48.7,26.2,23,7.7
Assam,Chirang,69,76.2,60.7,97,97.2,13.6,29.1,0.5,5.2,1.3,99.4,32.8,61.9,12.3,17.8,5.4
Assam,Darrang,75.4,81,69,99.7,98.4,19,55.2,1,4,1.8,99.6,28.6,66,14.2,19.4,4.7
Assam,Dhemaji,76.5,84,68.6,98.7,98.6,16.1,48.2,1.4,5.6,2.2,98.7,19.8,74.8,15.7,20.1,6.3
Assam,Dibrugarh,78.4,85.8,70.6,97.6,98.3,32.5,78,2.2,10.2,2.5,94.4,19,59.7,36.3,26.5,11.6
Assam,Dubri,67.2,72.8,61,97.6,96.3,17,45,2.3,4.9,4.7,97.1,23.6,47.5,11.4,13.5,4.1
Assam,Goalpara,77.3,82.1,71.9,99.2,98.2,27.5,63.6,1.6,4.9,2.9,99.6,18.5,48.7,20.1,21,6.5
Assam,Golaghat,76.2,83.2,68.9,98,98.3,23.4,75.3,7.8,6,5.8,97.5,31.6,65.3,28.6,24.5,8.9
