State/UT,District,Percent total literate Population (Age 7 +) ,Percent literate Male Population (Age 7+) ,Percent literate Female Population (Age 7+) ,Percent girls (age 6-11) attending Schools,Percent boys (age 6-11) attending Schools,Have Electricity connection (%),Have Access to toilet facility (%),Use piped drinking water (%),Use LPG for cooking (%),Live in a pucca house (%),Own a house (%),Have a BPL card (%),Own Agriculture Land (%),Have a television (%),Have a mobile phone (%),Have a Motorized Vehicle (%)
Andaman and Nicober Island, North & Middle Andaman  ,81.8,86.7,76.5,100,99.6,68.5,48.5,71.6,13.1,12.2,90.7,10.2,47.1,54.5,40.8,11.3
Andaman and Nicober Island, South Andaman  ,90.3,32.6,87.9,99.1,99.8,93.5,87.9,88.7,61.3,61.6,65.5,16.2,14.6,85,75.3,35.1
Andhra Pradesh,Adilabad,56.3,66.7,46.3,97.9,98.8,85.3,25.2,38.6,21.3,10.4,91.1,86.8,49,41.8,30.8,12.6
Andhra Pradesh,Anantapur,59.4,69.2,49.8,97,98.8,94.1,35.6,86,21,61.3,87,88.2,47.7,58.9,30.8,11.4
Andhra Pradesh,Chittoor,65,75.7,54.4,97.6,98.8,92.7,33.3,85.6,22,53.8,87.7,88.2,42.9,60.3,31.3,15.5
Andhra Pradesh,East Godavari,70.1,72.8,67.5,98.6,99,92.5,49.9,57.9,30.6,30.9,85.4,78.9,19.3,61.9,34,17.3
Andhra Pradesh,Guntur,63.8,73.1,54.4,97.9,98.3,90.8,52.2,55.6,41.5,46,82.9,73.8,30.5,60.7,30.6,15.9
Andhra Pradesh,Hyderabad,82.7,88.8,76.2,99.4,99.1,99.3,96.7,91.6,84.9,72.5,70.5,45.3,4.9,85.5,78.1,53.3
Andhra Pradesh,Kadapa,62.7,76,49.6,96.8,97.4,96.5,35.4,80.3,21.1,54.2,89,86.7,41.2,54,33.2,11.7
Andhra Pradesh,Karimnagar,60.6,72,50,99.9,98.8,92.8,36.8,66.4,25.8,26.8,88,79.1,39.4,55.4,39.4,16.2
Andhra Pradesh,Khammam,56.2,63.9,48.6,99.3,98.8,85.8,32.1,51.8,17,28.6,92,81.7,44,50.2,27,12.6
Andhra Pradesh,Krishna,71,75.6,66.5,99.5,99.6,94.7,60.3,71.7,42.1,45.5,80,76.6,20.3,67.4,33.7,18.8
Andhra Pradesh,Kurnool,54.3,65,43.7,96.1,98.1,94,34.5,73.8,23.2,51.6,85.6,84.9,45.9,58,35.2,16
Andhra Pradesh,Mahbubnagar,49.6,59.8,39.2,97.2,97.8,90,21.6,79,11.2,51,95.8,94.9,64.4,45,32.1,14
Andhra Pradesh,Medak,57.3,67.8,47,97.8,97.6,89.6,34.5,76.2,22.9,27.5,90.8,87.4,62.8,50.4,40.1,15.7
Andhra Pradesh,Nalgonda,60.7,72,49.1,96.6,97,90.4,29.1,67.2,17.4,45.1,90.5,87,43.8,53.8,39.5,13
Andhra Pradesh,Nellore,65.8,74,57.6,99.4,97.5,91.7,38.1,59.5,23.7,55.4,90.5,78.8,35.5,61,33.5,15.3
Andhra Pradesh,Nizamabad,57.1,67.4,47.5,98,98.8,95.3,37.7,89.2,28,30.4,88,83.6,40.6,52,40.7,15.3
Andhra Pradesh,Prakasam,60.4,70.6,50.4,95.5,98.8,91.1,40,45.4,27.7,54.6,86.2,73.7,44.1,58.9,28,13.6
Andhra Pradesh,Rangareddy,70.4,79.5,60.9,99.6,100,96.9,70.4,76.2,53.3,53.2,80,72.3,29.7,73,62.2,31.1
Andhra Pradesh,Srikakulam,59,69.2,49.5,96.3,98.9,86.9,18.4,15.8,16.1,47.2,91.9,89.8,46.8,41.7,19.6,7.8
Andhra Pradesh,Visakhapatnam,62.4,73.4,51.9,96.8,96,84.4,48.8,54.7,41.1,47.1,79.2,67.7,40.9,51.8,36.5,23.4
Andhra Pradesh,Vizianagaram,54.1,63.9,44.8,95.9,96.9,78.7,18.5,38.4,16.7,33.9,91.9,86.9,43.6,41.8,19.6,10.2
Andhra Pradesh,Warangal,63.3,73.8,53,99.6,98.9,94.1,40.3,76,24.9,30.4,88.1,87.2,39.2,50,37.4,13.9
Andhra Pradesh,West Godavari,66.3,71.1,61.4,96.6,97.8,93.2,56.7,81.8,25.6,33.2,82.6,86.2,19.8,61.5,27.6,12.9
Arunachal pradesh,Anjaw,74.3,80.9,66.3,100,100,97.5,82.4,95.4,27.2,11.2,98.9,21.4,43.3,57.2,32.1,24.3
Arunachal pradesh,Changlang,76.5,82.4,69.2,99.7,99.6,87.2,92.6,64.4,26.3,4,98.7,9.6,61.7,69.3,43,23
Arunachal pradesh,Dibang Valley,77.9,80.6,75,99.6,100,99.8,98.7,100,19.9,17.8,94.7,29.6,36.2,82.1,57.3,23.7
Arunachal pradesh,East Kameng,72.1,76.7,66.3,100,99.6,79.1,74.3,70,23.5,8.4,99.5,16.3,29.2,32.1,21.7,10.7
Arunachal pradesh,East Siang ,79.2,84.2,73.6,99.8,99.8,74.5,82.8,72.5,25.5,10.2,88.4,16.2,43.2,61.9,39.1,35.5
